accession,label,protein_name,gene_name,organism,seq_length,keywords
Q8IZA0,1,Dyslexia-associated protein KIAA0319-like protein,KIAA0319L,Homo sapiens,1049,3D-structure; Alternative splicing; Cell membrane; Glycoprotein; Golgi apparatus; Host-virus interaction; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Transmembrane; Transmembrane helix
Q8IZD6,1,Solute carrier family 22 member 15,SLC22A15,Homo sapiens,547,Alternative splicing; Amino-acid transport; Cell membrane; Glycoprotein; Ion transport; Membrane; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport
Q8IZF0,1,Sodium leak channel NALCN,NALCN,Homo sapiens,1738,3D-structure; Alternative splicing; Cell membrane; Coiled coil; Disease variant; Disulfide bond; Glycoprotein; Ion channel; Ion transport; Membrane; Neurodegeneration; Proteomics identification; Reference proteome; Repeat; Sodium; Sodium channel; Sodium transport; Transmembrane; Transmembrane helix; Transport; Voltage-gated channel
Q8IZF2,1,Adhesion G protein-coupled receptor F5,ADGRF5,Homo sapiens,1346,Alternative splicing; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Immunoglobulin domain; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Transducer; Transmembrane; Transmembrane helix
Q8IZF4,1,Adhesion G-protein coupled receptor G5,ADGRG5,Homo sapiens,528,3D-structure; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Proteomics identification; Receptor; Reference proteome; Signal; Transducer; Transmembrane; Transmembrane helix
Q8IZK6,1,Mucolipin-2,MCOLN2,Homo sapiens,566,3D-structure; Adaptive immunity; Alternative splicing; Calcium; Calcium channel; Calcium transport; Cell membrane; Disulfide bond; Endosome; Immunity; Innate immunity; Ion channel; Ion transport; Lysosome; Membrane; Protein transport; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport
Q8IZY2,1,Phospholipid-transporting ATPase ABCA7,ABCA7,Homo sapiens,2146,3D-structure; Alternative splicing; Alzheimer disease; Amyloidosis; ATP-binding; Cell membrane; Cell projection; Cytoplasm; Disulfide bond; Endoplasmic reticulum; Endosome; Glycoprotein; Golgi apparatus; Lipid transport; Membrane; Neurodegeneration; Nucleotide-binding; Phagocytosis; Proteomics identification; Reference proteome; Repeat; Translocase; Transmembrane; Transmembrane helix; Transport
Q8N370,1,Large neutral amino acids transporter small subunit 4,SLC43A2,Homo sapiens,569,Alternative splicing; Amino-acid transport; Cell membrane; Glycoprotein; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport
Q8N3J6,1,Cell adhesion molecule 2,CADM2,Homo sapiens,435,Alternative splicing; Cell adhesion; Cell membrane; Cell projection; Disulfide bond; Glycoprotein; Immunoglobulin domain; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Signal; Synapse; Transmembrane; Transmembrane helix
Q8N6F1,1,Claudin-19,CLDN19,Homo sapiens,224,Alternative splicing; Cell junction; Cell membrane; Disease variant; Disulfide bond; Magnesium; Membrane; Primary hypomagnesemia; Proteomics identification; Reference proteome; Sensory transduction; Tight junction; Transmembrane; Transmembrane helix; Vision
Q8N912,1,Nutritionally-regulated adipose and cardiac enriched protein homolog,NRAC,Homo sapiens,160,Cell membrane; Membrane; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix
Q8NBJ9,1,SID1 transmembrane family member 2,SIDT2,Homo sapiens,832,3D-structure; Alternative splicing; Cell membrane; Direct protein sequencing; DNA-binding; Glycoprotein; Lysosome; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; RNA-binding; Signal; Transmembrane; Transmembrane helix; Transport
Q8NBS3,1,Solute carrier family 4 member 11,SLC4A11,Homo sapiens,875,3D-structure; Alternative initiation; Alternative splicing; Anion exchange; Cell membrane; Corneal dystrophy; Deafness; Disease variant; Glycoprotein; Ion transport; Membrane; Proteomics identification; Reference proteome; Symport; Transmembrane; Transmembrane helix; Transport
Q8NE01,1,Metal transporter CNNM3,CNNM3,Homo sapiens,707,3D-structure; Alternative splicing; CBS domain; Cell membrane; Glycoprotein; Ion transport; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Transmembrane; Transmembrane helix; Transport
Q8NEC5,1,Cation channel sperm-associated protein 1,CATSPER1,Homo sapiens,780,Calcium; Calcium channel; Calcium transport; Cell membrane; Cell projection; Cilium; Developmental protein; Differentiation; Flagellum; Ion channel; Ion transport; Membrane; Proteomics identification; Reference proteome; Spermatogenesis; Transmembrane; Transmembrane helix; Transport; Voltage-gated channel
Q8NFT2,1,Metalloreductase STEAP2,STEAP2,Homo sapiens,490,3D-structure; Alternative splicing; Cell membrane; Copper; Electron transport; Endosome; FAD; Flavoprotein; Heme; Ion transport; Iron; Iron transport; Membrane; Metal-binding; NAD; NADP; Oxidoreductase; Phosphoprotein; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport
Q8NFU0,1,Bestrophin-4,BEST4,Homo sapiens,473,Calcium; Cell membrane; Chloride; Chloride channel; Ion channel; Ion transport; Membrane; Metal-binding; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport
Q8NFU1,1,Bestrophin-2a,BEST2,Homo sapiens,509,3D-structure; Calcium; Cell membrane; Chloride; Chloride channel; Ion channel; Ion transport; Membrane; Metal-binding; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport
Q8NHJ6,1,Leukocyte immunoglobulin-like receptor subfamily B member 4,LILRB4,Homo sapiens,448,3D-structure; Adaptive immunity; Alternative splicing; Cell membrane; Disulfide bond; Immunity; Immunoglobulin domain; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
Q8NI17,1,Interleukin-31 receptor subunit alpha,IL31RA,Homo sapiens,732,3D-structure; Alternative splicing; Amyloidosis; Cell membrane; Cell projection; Direct protein sequencing; Disease variant; Glycoprotein; Immunity; Membrane; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Synapse; Transmembrane; Transmembrane helix
Q8TAE7,1,Voltage-gated potassium channel regulatory subunit KCNG3,KCNG3,Homo sapiens,436,Alternative splicing; Cell membrane; Cytoplasm; Ion channel; Ion transport; Membrane; Potassium; Potassium channel; Potassium transport; Reference proteome; Transmembrane; Transmembrane helix; Transport; Voltage-gated channel
Q8TBE1,1,Protein cornichon homolog 3,CNIH3,Homo sapiens,160,Cell membrane; Membrane; Postsynaptic cell membrane; Proteomics identification; Reference proteome; Synapse; Transmembrane; Transmembrane helix
Q8TBJ4,1,Phospholipid phosphatase-related protein type 1,PLPPR1,Homo sapiens,325,Cell membrane; Cell projection; Glycoprotein; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix
Q8TCT7,1,Signal peptide peptidase-like 2B,SPPL2B,Homo sapiens,592,Alternative splicing; Cell membrane; Endosome; Glycoprotein; Golgi apparatus; Hydrolase; Lysosome; Membrane; Protease; Proteomics identification; Reference proteome; Signal; Transmembrane; Transmembrane helix
Q8TCU5,1,"Glutamate receptor ionotropic, NMDA 3A",GRIN3A,Homo sapiens,1115,3D-structure; Calcium; Cell membrane; Coiled coil; Disulfide bond; Glycoprotein; Ion channel; Ion transport; Ligand-gated ion channel; Magnesium; Membrane; Postsynaptic cell membrane; Proteomics identification; Receptor; Reference proteome; Signal; Synapse; Transmembrane; Transmembrane helix; Transport
Q8TDI7,1,Transmembrane channel-like protein 2,TMC2,Homo sapiens,906,Alternative splicing; Cell membrane; Ion channel; Ion transport; Membrane; Reference proteome; Transmembrane; Transmembrane helix; Transport
Q8TDQ0,1,Hepatitis A virus cellular receptor 2,HAVCR2,Homo sapiens,301,3D-structure; Adaptive immunity; Alternative splicing; Cell junction; Cell membrane; Disease variant; Disulfide bond; Glycoprotein; Immunity; Immunoglobulin domain; Inflammatory response; Innate immunity; Lipoprotein; Membrane; Metal-binding; Palmitate; Phosphoprotein; Proteomics identification; Reference proteome; Signal; Transmembrane; Transmembrane helix; Ubl conjugation
Q8TDV0,1,G-protein coupled receptor 151,GPR151,Homo sapiens,419,Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
Q8TDW0,1,Volume-regulated anion channel subunit LRRC8C,LRRC8C,Homo sapiens,803,3D-structure; Cell membrane; Disease variant; Disulfide bond; Dwarfism; Endoplasmic reticulum; Glycoprotein; Intellectual disability; Ion channel; Ion transport; Leucine-rich repeat; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Transmembrane; Transmembrane helix; Transport
Q8TE23,1,Taste receptor type 1 member 2,TAS1R2,Homo sapiens,839,3D-structure; Cell membrane; G-protein coupled receptor; Glycoprotein; Membrane; Proteomics identification; Receptor; Reference proteome; Sensory transduction; Signal; Taste; Transducer; Transmembrane; Transmembrane helix
Q8TEZ7,1,Membrane progestin receptor beta,PAQR8,Homo sapiens,354,Cell membrane; Developmental protein; Differentiation; Lipid-binding; Membrane; Oogenesis; Proteomics identification; Receptor; Reference proteome; Steroid-binding; Transmembrane; Transmembrane helix
Q8WUG5,1,Solute carrier family 22 member 17,SLC22A17,Homo sapiens,649,Alternative splicing; Cell membrane; Glycoprotein; Ion transport; Iron; Iron transport; Membrane; Proteomics identification; Receptor; Reference proteome; Transmembrane; Transmembrane helix; Transport; Vacuole
Q8WVZ1,1,Palmitoyltransferase ZDHHC19,ZDHHC19,Homo sapiens,309,Acyltransferase; Alternative splicing; Cell membrane; Cytoplasm; Golgi apparatus; Membrane; Proteomics identification; Reference proteome; Transferase; Transmembrane; Transmembrane helix
Q8WXH2,1,Junctophilin-3,JPH3,Homo sapiens,748,Alternative splicing; Cell membrane; Endoplasmic reticulum; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Transmembrane; Transmembrane helix; Triplet repeat expansion
Q8WXS5,1,Voltage-dependent calcium channel gamma-8 subunit,CACNG8,Homo sapiens,425,Calcium; Calcium channel; Calcium transport; Cell membrane; Ion channel; Ion transport; Lipoprotein; Membrane; Palmitate; Phosphoprotein; Postsynaptic cell membrane; Proteomics identification; Reference proteome; Synapse; Transmembrane; Transmembrane helix; Transport; Voltage-gated channel
Q8WZ55,1,Barttin,BSND,Homo sapiens,320,Bartter syndrome; Cell membrane; Deafness; Disease variant; Lipoprotein; Membrane; Palmitate; Phosphoprotein; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix
Q92508,1,Piezo-type mechanosensitive ion channel component 1,PIEZO1,Homo sapiens,2521,3D-structure; Blood group antigen; Cell membrane; Cell projection; Coiled coil; Direct protein sequencing; Disease variant; Disulfide bond; Endoplasmic reticulum; Glycoprotein; Hereditary hemolytic anemia; Ion channel; Ion transport; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport
Q92581,1,Sodium/hydrogen exchanger 6,SLC9A6,Homo sapiens,701,Alternative splicing; Antiport; Cell membrane; Disease variant; Endosome; Epilepsy; Glycoprotein; Intellectual disability; Ion transport; Isopeptide bond; Membrane; Neurodegeneration; Parkinsonism; Proteomics identification; Reference proteome; Sodium; Sodium transport; Transmembrane; Transmembrane helix; Transport; Ubl conjugation
Q92847,1,Growth hormone secretagogue receptor type 1,GHSR,Homo sapiens,366,3D-structure; Alternative splicing; Cell membrane; Disease variant; Disulfide bond; Dwarfism; G-protein coupled receptor; Glycoprotein; Membrane; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
Q93086,1,P2X purinoceptor 5,P2RX5,Homo sapiens,444,Alternative splicing; Cell membrane; Disulfide bond; Glycoprotein; Ion channel; Ion transport; Ligand-gated ion channel; Membrane; Proteomics identification; Receptor; Reference proteome; Transmembrane; Transmembrane helix; Transport
Q969F8,1,KiSS-1 receptor,KISS1R,Homo sapiens,398,3D-structure; Cell membrane; Disease variant; Disulfide bond; G-protein coupled receptor; Glycoprotein; Hypogonadotropic hypogonadism; Membrane; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
Q96D53,1,"Atypical kinase COQ8B, mitochondrial",COQ8B,Homo sapiens,544,Alternative splicing; ATP-binding; Cell membrane; Cytoplasm; Disease variant; Kinase; Membrane; Mitochondrion; Nucleotide-binding; Proteomics identification; Reference proteome; Transferase; Transmembrane; Transmembrane helix
Q96FE5,1,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1,LINGO1,Homo sapiens,620,3D-structure; Alternative splicing; Cell membrane; Disease variant; Disulfide bond; Glycoprotein; Immunoglobulin domain; Intellectual disability; Leucine-rich repeat; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
Q96FT7,1,Acid-sensing ion channel 4,ASIC4,Homo sapiens,539,Alternative splicing; Cell membrane; Disulfide bond; Glycoprotein; Ion channel; Ion transport; Membrane; Proteomics identification; Reference proteome; Sodium; Sodium channel; Sodium transport; Transmembrane; Transmembrane helix; Transport
Q96G30,1,Melanocortin-2 receptor accessory protein 2,MRAP2,Homo sapiens,205,Cell membrane; Endoplasmic reticulum; Glycoprotein; Membrane; Obesity; Phosphoprotein; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix
Q96G91,1,P2Y purinoceptor 11,P2RY11,Homo sapiens,374,Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
Q96JW4,1,Solute carrier family 41 member 2,SLC41A2,Homo sapiens,573,Cell membrane; Ion transport; Magnesium; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Transmembrane; Transmembrane helix; Transport
Q96KK3,1,Delayed-rectifier potassium channel regulatory subunit KCNS1,KCNS1,Homo sapiens,526,Cell membrane; Ion channel; Ion transport; Membrane; Potassium; Potassium channel; Potassium transport; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport; Voltage-gated channel
Q96LA9,1,Mas-related G-protein coupled receptor member X4,MRGPRX4,Homo sapiens,322,3D-structure; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
Q96LB2,1,Mas-related G-protein coupled receptor member X1,MRGPRX1,Homo sapiens,322,3D-structure; Acute phase; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
Q96LC7,1,Sialic acid-binding Ig-like lectin 10,SIGLEC10,Homo sapiens,697,Adaptive immunity; Alternative splicing; Cell adhesion; Cell membrane; Disulfide bond; Glycoprotein; Immunity; Immunoglobulin domain; Innate immunity; Lectin; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Secreted; Signal; Transmembrane; Transmembrane helix
Q96MU8,1,Kremen protein 1,KREMEN1,Homo sapiens,473,3D-structure; Alternative splicing; Cell membrane; Disease variant; Disulfide bond; Ectodermal dysplasia; Glycoprotein; Kringle; Membrane; Proteomics identification; Reference proteome; Signal; Transmembrane; Transmembrane helix; Wnt signaling pathway
Q96P66,1,Probable G-protein coupled receptor 101,GPR101,Homo sapiens,508,3D-structure; Cell membrane; Disease variant; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
Q96P68,1,2-oxoglutarate receptor 1,OXGR1,Homo sapiens,337,3D-structure; Cell membrane; Disease variant; Disulfide bond; G-protein coupled receptor; Glycoprotein; Immunity; Innate immunity; Membrane; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
Q96PJ5,1,Fc receptor-like protein 4,FCRL4,Homo sapiens,515,Adaptive immunity; Alternative splicing; Cell membrane; Chromosomal rearrangement; Disulfide bond; Glycoprotein; Immunity; Immunoglobulin domain; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
Q96Q91,1,Anion exchange protein 4,SLC4A9,Homo sapiens,983,Alternative splicing; Anion exchange; Antiport; Cell membrane; Glycoprotein; Ion transport; Membrane; Reference proteome; Transmembrane; Transmembrane helix; Transport
Q96QT4,1,Transient receptor potential cation channel subfamily M member 7,TRPM7,Homo sapiens,1865,Acetylation; Amyotrophic lateral sclerosis; ATP-binding; Calcium; Calcium channel; Calcium transport; Cell membrane; Coiled coil; Cytoplasmic vesicle; Disease variant; Ion channel; Ion transport; Kinase; Lipoprotein; Membrane; Metal-binding; Necrosis; Neurodegeneration; Nucleotide-binding; Nucleus; Palmitate; Parkinsonism; Phosphoprotein; Proteomics identification; Reference proteome; Serine/threonine-protein kinase; Transferase; Transmembrane; Transmembrane helix; Transport; Zinc
Q96RD6,1,Pannexin-2,PANX2,Homo sapiens,677,3D-structure; Alternative splicing; Cell membrane; Endoplasmic reticulum; Glycoprotein; Golgi apparatus; Ion channel; Ion transport; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport
Q96RI0,1,Proteinase-activated receptor 4,F2RL3,Homo sapiens,385,3D-structure; Blood coagulation; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Hemostasis; Membrane; Proteomics identification; Receptor; Reference proteome; Signal; Transducer; Transmembrane; Transmembrane helix
Q99062,1,Granulocyte colony-stimulating factor receptor,CSF3R,Homo sapiens,836,3D-structure; Alternative splicing; Cell adhesion; Cell membrane; Direct protein sequencing; Disease variant; Disulfide bond; Glycoprotein; Immunoglobulin domain; Membrane; Proteomics identification; Receptor; Reference proteome; Repeat; Secreted; Signal; Transmembrane; Transmembrane helix
Q99712,1,ATP-sensitive inward rectifier potassium channel 15,KCNJ15,Homo sapiens,375,Cell membrane; Ion channel; Ion transport; Membrane; Potassium; Potassium transport; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport; Voltage-gated channel
Q99946,1,Proline-rich transmembrane protein 1,PRRT1,Homo sapiens,306,Alternative splicing; Cell membrane; Membrane; Proteomics identification; Reference proteome; Signal-anchor; Synapse; Transmembrane; Transmembrane helix
Q9BRI3,1,Proton-coupled zinc antiporter SLC30A2,SLC30A2,Homo sapiens,372,Alternative splicing; Antiport; Cell membrane; Cytoplasmic vesicle; Disease variant; Endosome; Ion transport; Lysosome; Membrane; Metal-binding; Mitochondrion; Mitochondrion inner membrane; Phosphoprotein; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport; Zinc; Zinc transport
Q9BTN0,1,Leucine-rich repeat and fibronectin type-III domain-containing protein 3,LRFN3,Homo sapiens,628,Cell adhesion; Cell membrane; Cell projection; Disulfide bond; Glycoprotein; Immunoglobulin domain; Leucine-rich repeat; Membrane; Postsynaptic cell membrane; Proteomics identification; Reference proteome; Repeat; Signal; Synapse; Transmembrane; Transmembrane helix
Q9BVT8,1,Transmembrane and ubiquitin-like domain-containing protein 1,TMUB1,Homo sapiens,246,Cell membrane; Cytoplasm; Cytoskeleton; Endosome; Membrane; Nucleus; Phosphoprotein; Postsynaptic cell membrane; Proteomics identification; Reference proteome; Synapse; Transmembrane; Transmembrane helix
Q9BWL3,1,Lipid transport auxiliary protein 1,LTAP1,Homo sapiens,253,Alternative splicing; Cell membrane; Endoplasmic reticulum; Golgi apparatus; Membrane; Mitochondrion; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix
Q9BWQ8,1,Protein lifeguard 2,FAIM2,Homo sapiens,316,Alternative splicing; Apoptosis; Cell membrane; Glycoprotein; Membrane; Postsynaptic cell membrane; Proteomics identification; Reference proteome; Synapse; Transmembrane; Transmembrane helix
Q9BX97,1,Plasmalemma vesicle-associated protein,PLVAP,Homo sapiens,442,Cell membrane; Coiled coil; Cytoplasm; Disease variant; Glycoprotein; Membrane; Proteomics identification; Reference proteome; Signal-anchor; Transmembrane; Transmembrane helix
Q9BXC1,1,Probable G-protein coupled receptor 174,GPR174,Homo sapiens,333,3D-structure; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
Q9BXJ8,1,Transmembrane protein 120A,TMEM120A,Homo sapiens,343,3D-structure; Alternative splicing; Cell membrane; Endoplasmic reticulum; Immunity; Innate immunity; Membrane; Nucleus; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix
Q9BXS4,1,Transmembrane protein 59,TMEM59,Homo sapiens,323,Autophagy; Cell membrane; Endosome; Glycoprotein; Golgi apparatus; Lysosome; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Signal; Transmembrane; Transmembrane helix
Q9BY79,1,Membrane frizzled-related protein,MFRP,Homo sapiens,579,Alternative splicing; Cell membrane; Disease variant; Disulfide bond; Glycoprotein; Membrane; Microphthalmia; Proteomics identification; Reference proteome; Repeat; Retinitis pigmentosa; Signal-anchor; Transmembrane; Transmembrane helix
Q9BZD6,1,Transmembrane gamma-carboxyglutamic acid protein 4,PRRG4,Homo sapiens,226,Cell membrane; Cleavage on pair of basic residues; Disulfide bond; Gamma-carboxyglutamic acid; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Signal; Transmembrane; Transmembrane helix
Q9BZW2,1,Solute carrier family 13 member 1,SLC13A1,Homo sapiens,595,3D-structure; Cell membrane; Glycoprotein; Ion transport; Membrane; Proteomics identification; Reference proteome; Sodium; Sodium transport; Sulfate transport; Symport; Transmembrane; Transmembrane helix; Transport
Q9C0A0,1,Contactin-associated protein-like 4,CNTNAP4,Homo sapiens,1308,3D-structure; Alternative splicing; Cell adhesion; Cell membrane; Cell projection; Disulfide bond; EGF-like domain; Glycoprotein; Membrane; Proteomics identification; Reference proteome; Repeat; Signal; Synapse; Transmembrane; Transmembrane helix
Q9C0B5,1,Palmitoyltransferase ZDHHC5,ZDHHC5,Homo sapiens,715,Acyltransferase; Alternative splicing; Cell membrane; Immunity; Innate immunity; Lipid transport; Lipoprotein; Membrane; Methylation; Palmitate; Phosphoprotein; Proteomics identification; Reference proteome; Synapse; Transferase; Transmembrane; Transmembrane helix; Transport
Q9C0K1,1,Metal cation symporter ZIP8,SLC39A8,Homo sapiens,460,Alternative splicing; Cell membrane; Congenital disorder of glycosylation; Glycoprotein; Ion transport; Lysosome; Membrane; Proteomics identification; Reference proteome; Signal; Symport; Transmembrane; Transmembrane helix; Transport; Zinc; Zinc transport
Q9H228,1,Sphingosine 1-phosphate receptor 5,S1PR5,Homo sapiens,398,3D-structure; Alternative splicing; Cell membrane; G-protein coupled receptor; Glycoprotein; Lipoprotein; Membrane; Palmitate; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
Q9H3S3,1,Transmembrane protease serine 5,TMPRSS5,Homo sapiens,457,Cell membrane; Disulfide bond; Glycoprotein; Hydrolase; Membrane; Protease; Proteomics identification; Reference proteome; Serine protease; Signal-anchor; Transmembrane; Transmembrane helix
Q9H3T3,1,Semaphorin-6B,SEMA6B,Homo sapiens,888,Alternative splicing; Cell membrane; Developmental protein; Differentiation; Direct protein sequencing; Disulfide bond; Epilepsy; Glycoprotein; Membrane; Methylation; Neurodegeneration; Neurogenesis; Proteomics identification; Reference proteome; Signal; Transmembrane; Transmembrane helix
Q9H461,1,Frizzled-8,FZD8,Homo sapiens,694,3D-structure; Cell membrane; Developmental protein; Disulfide bond; G-protein coupled receptor; Glycoprotein; Golgi apparatus; Membrane; Proteomics identification; Receptor; Reference proteome; Signal; Transducer; Transmembrane; Transmembrane helix; Ubl conjugation; Wnt signaling pathway
Q9H4D0,1,Calsyntenin-2,CLSTN2,Homo sapiens,955,Calcium; Cell adhesion; Cell membrane; Cell projection; Endoplasmic reticulum; Glycoprotein; Golgi apparatus; Membrane; Postsynaptic cell membrane; Proteomics identification; Reference proteome; Repeat; Signal; Synapse; Transmembrane; Transmembrane helix
Q9H6L2,1,Transmembrane protein 231,TMEM231,Homo sapiens,316,Alternative splicing; Cell membrane; Cell projection; Ciliopathy; Cilium; Cilium biogenesis/degradation; Disease variant; Glycoprotein; Joubert syndrome; Meckel syndrome; Membrane; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix
Q9H6Y7,1,E3 ubiquitin-protein ligase RNF167,RNF167,Homo sapiens,350,Alternative splicing; Cell membrane; Cytoplasm; Endosome; Glycoprotein; Lysosome; Membrane; Metal-binding; Proteomics identification; Reference proteome; Signal; Transferase; Transmembrane; Transmembrane helix; Ubl conjugation; Ubl conjugation pathway; Zinc; Zinc-finger
Q9H9K5,1,Endogenous retroviral envelope protein HEMO,ERVMER34-1,Homo sapiens,563,Cell membrane; ERV; Glycoprotein; Membrane; Proteomics identification; Reference proteome; Secreted; Signal; Transmembrane; Transmembrane helix; Transposable element
Q9H9S5,1,Ribitol 5-phosphate transferase FKRP,FKRP,Homo sapiens,495,3D-structure; Cardiomyopathy; Cell membrane; Congenital muscular dystrophy; Cytoplasm; Disease variant; Disulfide bond; Dystroglycanopathy; Endoplasmic reticulum; Glycoprotein; Golgi apparatus; Limb-girdle muscular dystrophy; Lissencephaly; Magnesium; Membrane; Metal-binding; Proteomics identification; Reference proteome; Secreted; Signal-anchor; Transferase; Transmembrane; Transmembrane helix; Zinc
Q9HBX8,1,Leucine-rich repeat-containing G-protein coupled receptor 6,LGR6,Homo sapiens,967,Alternative splicing; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Leucine-rich repeat; Membrane; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Transducer; Transmembrane; Transmembrane helix; Tumor suppressor; Wnt signaling pathway
Q9HBX9,1,Relaxin receptor 1,RXFP1,Homo sapiens,757,3D-structure; Alternative splicing; Calcium; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Leucine-rich repeat; Membrane; Metal-binding; Proteomics identification; Receptor; Reference proteome; Repeat; Transducer; Transmembrane; Transmembrane helix
Q9HC10,1,Otoferlin,OTOF,Homo sapiens,1997,Alternative splicing; Calcium; Cell membrane; Cell projection; Coiled coil; Cytoplasmic vesicle; Deafness; Disease variant; Endoplasmic reticulum; Golgi apparatus; Hearing; Membrane; Metal-binding; Neuropathy; Non-syndromic deafness; Proteomics identification; Reference proteome; Repeat; Signal-anchor; Synapse; Transmembrane; Transmembrane helix
Q9HCE9,1,Anoctamin-8,ANO8,Homo sapiens,1232,Acetylation; Alternative splicing; Cell membrane; Membrane; Methylation; Phosphoprotein; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix
Q9HCF6,1,Transient receptor potential cation channel subfamily M member 3,TRPM3,Homo sapiens,1732,Alternative splicing; Calcium; Calcium channel; Calcium transport; Calmodulin-binding; Cataract; Cell membrane; Coiled coil; Disease variant; Epilepsy; Intellectual disability; Ion channel; Ion transport; Membrane; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport
Q9NNX6,1,CD209 antigen,CD209,Homo sapiens,404,3D-structure; Adaptive immunity; Alternative splicing; Calcium; Cell adhesion; Cell membrane; Disulfide bond; Endocytosis; Glycoprotein; Host cell receptor for virus entry; Host-virus interaction; Immunity; Innate immunity; Lectin; Mannose-binding; Membrane; Metal-binding; Proteomics identification; Receptor; Reference proteome; Repeat; Secreted; Signal-anchor; Transmembrane; Transmembrane helix
Q9NP59,1,Ferroportin,SLC40A1,Homo sapiens,571,3D-structure; Cell membrane; Disease variant; Glycoprotein; Ion transport; Iron; Iron transport; Membrane; Metal-binding; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport; Ubl conjugation
